TITLE,死人にもち肌
EMPTY,
AUTHOR,　　　　　　　　　　　　　　　　　　沙汰青豆
EMPTY,
CHARSHEADLINE,　登場人物
EMPTY,
CHARACTER,若月永子　　
CHARACTER,赤木課長　　
CHARACTER,相原しの　　
CHARACTER,本田さん　　
CHARACTER,赤木光子　　
CHARACTER,御堂さん　　
EMPTY,
H1,シーン１
EMPTY,
DIRECTION,　　机と椅子二つ。
DIRECTION_CONTINUED,　　しのが座っている。
DIRECTION_CONTINUED,　　机の上に電話。
DIRECTION_CONTINUED,　　後ろにホワイトボード。
EMPTY,
DIRECTION,　　電話が鳴る。
DIRECTION_CONTINUED,　　しの、電話を取ったものかどうか迷う。
EMPTY,
DIRECTION,　　暫くして永子が現れる。
DIRECTION_CONTINUED,　　永子、座って電話に出る。
EMPTY,
DIALOGUE,永子　　　「もしもし。」
DIALOGUE,女１　　　「もしもし。」
DIALOGUE,永子　　　「あ、えっと、サポート部？　ですけど。」
DIALOGUE,女１　　　「あのー、無料のお試しセットを、お願いしたいんですけど･･･」
DIALOGUE,永子　　　「あ、ああ、はいはい。えーっと、インターネット、見れます？」
DIALOGUE,女１　　　「はい。」
DIALOGUE,永子　　　「そしたら、『マイナス30才肌』で検索して頂いて、ホームページから
DIALOGUE_CONTINUED,　　　　　　申し込めるようになってますんで。」
DIALOGUE,女１　　　「あ、そうですか。」
DIALOGUE,永子　　　「はーい、よろしくお願いしまーす。」
EMPTY,
DIRECTION,　　電話を切る。
DIRECTION_CONTINUED,　　横にしのがいてびっくりする。
EMPTY,
DIALOGUE,永子　　　「うわっ！　･･･いたんだ。」
DIALOGUE,しの　　　「あ、済みません。電話･･･。」
DIALOGUE,永子　　　「おばさんさあ、気配消すのやめてもらえる？」
DIALOGUE,しの　　　「あ、済みません。･･･でも電話、もうかかって来るんですね。」
DIALOGUE,永子　　　「え、なんで気配消すの？」
DIALOGUE,しの　　　「あ、じゃあ、気配、出します。」
DIALOGUE,永子　　　「え～ちょっと待って。電話、もうかかって来るんじゃん。」
DIALOGUE,しの　　　「さっきみたいに、言えばいいんですか？。」
DIALOGUE,永子　　　「ああ。あたしさっき、何て言ったっけ。」
DIALOGUE,しの　　　「何か、インターネットは、人を堕落させるとか･･･」
DIALOGUE,永子　　　「ていうかさ、いきなりサポート部作るとか言われてもねぇ。ていうか課
DIALOGUE_CONTINUED,　　　　　　長何やってんの？　ていうかおばさんさっき課長に触られてたよね？」
DIALOGUE,しの　　　「えっ、･･･。」
DIALOGUE,永子　　　「気づいてるよね、触られてたの。」
DIALOGUE,しの　　　「触るっていうか･･･、スキンシップ・トゥルーパーズ？」
DIALOGUE,永子　　　「え、嫌じゃないの？　ああいうプチ・セクハラ。」
DIALOGUE,しの　　　「嫌です。･･･あ、でも多分課長としてはそういうつもりは」
DIALOGUE,永子　　　「いやいやいやいや。え、何？　課長に奥さんいるから？」
DIALOGUE,しの　　　「それに、主人の事も、分かってるはずなので･･･。」
DIALOGUE,永子　　　「･･･じゃあどうすんの？　これからも触らせんの？」
DIALOGUE,しの　　　「これから･･･、お彼岸を過ぎて涼しくなりますね。」
DIALOGUE,永子　　　「あ、それ喪服？。」
DIALOGUE,しの　　　「じゃあ、あの、あんまりしつこいようでしたら、殺しま･･･」
DIALOGUE,永子　　　「おばさんさあ、底なし沼はまった事ないでしょ。あのね、何で最初にす
DIALOGUE_CONTINUED,　　　　　　ぐ抜け出さなかったんだろうって思うから。」
DIALOGUE,しの　　　「そうですか･･･。底なし沼へは、良く行かれるんですか？」
DIALOGUE,永子　　　「おばさん、課長の事どう思ってんの？」
DIALOGUE,しの　　　「まあ･･･、割と最低な人だと思ってますけど･･･。あ、済みません
DIALOGUE_CONTINUED,　　　　　　。」
DIALOGUE,永子　　　「え。･･･え、何謝ってんの。違うからね、あたし。」
DIALOGUE,しの　　　「ああ、そうですか･･･。」
DIALOGUE,永子　　　「ちょっと待ってよ。」
DIALOGUE,しの　　　「昨日、帰り課長と一緒でしたよね･･･？」
EMPTY,
DIRECTION,　　電話が鳴る。
DIRECTION_CONTINUED,　　永子、しのを見ている。
EMPTY,
DIALOGUE,しの　　　「済みません、昨日も、気配消えてたみたいで。」
DIALOGUE,永子　　　「うん。で、何見たの？」
DIALOGUE,しの　　　「二人でホテルへ入っていくところと、そのホテルから出てくるところ、
DIALOGUE_CONTINUED,　　　　　　だけですけど･･･。」
DIALOGUE,永子　　　「そっか･･･。それ本当にあたしと課長なの？　ちょっとちゃんと思い
DIALOGUE_CONTINUED,　　　　　　出してよ。」
DIALOGUE,しの　　　「たしか･･･」
EMPTY,
DIRECTION,　　しの、ホワイトボードに二人の似顔絵を書く。
DIRECTION_CONTINUED,　　電話は鳴っている。
DIRECTION_CONTINUED,　　永子、しばらく似顔絵を見て、
EMPTY,
DIALOGUE,永子　　　「じゃああたし、電話出るから。静かにしてて。」
EMPTY,
DIRECTION,　　永子、電話に出る。
DIRECTION_CONTINUED,　　電話、切れる。
EMPTY,
DIALOGUE,永子　　　「はい、ココ・プルゲン、サポートセンターです。･･･切れちゃったじ
DIALOGUE_CONTINUED,　　　　　　ゃん。」
EMPTY,
